Oct 28, 2017 4:26:37 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,RuhSeekers*,6832 (10%),4650,420,1573,125,61,3,4,1,0
2nd,PeraXbot*,6191 (9%),4300,280,1465,102,44,0,2,1,0
3rd,Insight*,5909 (8%),4000,140,1657,57,55,0,1,0,0
4th,Scorpion*,5834 (8%),4550,0,1157,25,102,0,0,0,2
5th,Void*,5737 (8%),4400,0,1238,75,24,0,0,3,0
6th,SabraRonins*,5095 (7%),4000,0,967,72,49,6,0,2,2
7th,NETCLOUD*,4888 (7%),3350,140,1277,60,43,18,2,0,1
8th,TeamStrikers*,4838 (7%),3650,0,1115,28,46,0,0,0,0
9th,TransCoders*,4617 (6%),3150,140,1213,45,50,19,1,1,2
10th,WSAD*,4474 (6%),3350,0,1087,4,32,0,0,0,0
11th,HashSteel*,4407 (6%),3400,0,902,41,65,0,0,1,2
12th,Dalek*,4177 (6%),3000,140,954,29,54,0,1,0,1
13th,Dead_lock*,3989 (6%),2900,0,971,80,38,0,0,0,0
14th,CtrlAltDel*,2484 (3%),2150,0,275,10,49,0,0,0,0
15th,Pentacode*,2257 (3%),1600,0,509,9,133,6,0,0,0
$
