Oct 28, 2017 6:55:55 AM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,EchoBotBravo*,5415 (19%),2750,320,2108,216,20,0,4,0,1
2nd,CKCharlie*,4302 (15%),2550,240,1359,122,31,0,3,1,1
3rd,Panzar01*,3966 (14%),2600,80,1040,89,125,31,1,3,2
4th,Panzar02*,3648 (13%),2400,80,979,74,98,16,1,3,1
5th,CKBravo*,3570 (13%),2300,0,1192,49,29,0,0,1,2
6th,CKAlpha*,2748 (10%),1850,0,823,53,22,0,0,2,1
7th,Panzar03*,1947 (7%),1650,80,140,0,77,0,1,0,2
8th,FoxtrotBotBravo*,1232 (4%),850,0,341,12,29,0,0,0,0
9th,DeltaBotBravo*,1223 (4%),1050,0,162,0,11,0,0,0,0
$
